id,level,profession,hp,mp,minAttack,maxAttack,minDef,maxDef,hitrate,dodgerate,critrate,critresistrate,luckyValue,damageadd,damageless,fightval
1,1,1,100000,100000,1000,1500,500,1000,500,500,500,500,0,0,0,100000
2,2,1,101000,101000,1010,1500,505,1005,505,505,505,505,0,0,0,99000
3,3,1,102000,102000,1020,1500,510,1010,510,510,510,510,0,0,0,98000
4,4,1,103000,103000,1030,1500,515,1015,515,515,515,515,0,0,0,97000
5,5,1,104000,104000,1040,1500,520,1020,520,520,520,520,0,0,0,96000
6,6,1,105000,105000,1050,1500,525,1025,525,525,525,525,0,0,0,95000
7,7,1,106000,106000,1060,1500,530,1030,530,530,530,530,0,0,0,94000
8,8,1,107000,107000,1070,1500,535,1035,535,535,535,535,0,0,0,93000
9,9,1,108000,108000,1080,1500,540,1040,540,540,540,540,0,0,0,92000
10,10,1,109000,109000,1090,1500,545,1045,545,545,545,545,0,0,0,91000
11,11,1,110000,110000,1100,1500,550,1050,550,550,550,550,0,0,0,90000
12,12,1,111000,111000,1110,1500,555,1055,555,555,555,555,0,0,0,89000
13,13,1,112000,112000,1120,1500,560,1060,560,560,560,560,0,0,0,88000
14,14,1,113000,113000,1130,1500,565,1065,565,565,565,565,0,0,0,87000
15,15,1,114000,114000,1140,1500,570,1070,570,570,570,570,0,0,0,86000
16,16,1,115000,115000,1150,1500,575,1075,575,575,575,575,0,0,0,85000
17,17,1,116000,116000,1160,1500,580,1080,580,580,580,580,0,0,0,84000
18,18,1,117000,117000,1170,1500,585,1085,585,585,585,585,0,0,0,83000
19,19,1,118000,118000,1180,1500,590,1090,590,590,590,590,0,0,0,82000
20,20,1,119000,119000,1190,1500,595,1095,595,595,595,595,0,0,0,81000
21,21,1,120000,120000,1200,1500,600,1100,600,600,600,600,0,0,0,80000
22,22,1,121000,121000,1210,1500,605,1105,605,605,605,605,0,0,0,79000
23,23,1,122000,122000,1220,1500,610,1110,610,610,610,610,0,0,0,78000
24,24,1,123000,123000,1230,1500,615,1115,615,615,615,615,0,0,0,77000
25,25,1,124000,124000,1240,1500,620,1120,620,620,620,620,0,0,0,76000
26,26,1,125000,125000,1250,1500,625,1125,625,625,625,625,0,0,0,75000
27,27,1,126000,126000,1260,1500,630,1130,630,630,630,630,0,0,0,74000
28,28,1,127000,127000,1270,1500,635,1135,635,635,635,635,0,0,0,73000
29,29,1,128000,128000,1280,1500,640,1140,640,640,640,640,0,0,0,72000
30,30,1,129000,129000,1290,1500,645,1145,645,645,645,645,0,0,0,71000
31,31,1,130000,130000,1300,1500,650,1150,650,650,650,650,0,0,0,70000
32,32,1,131000,131000,1310,1500,655,1155,655,655,655,655,0,0,0,69000
33,33,1,132000,132000,1320,1500,660,1160,660,660,660,660,0,0,0,68000
34,34,1,133000,133000,1330,1500,665,1165,665,665,665,665,0,0,0,67000
35,35,1,134000,134000,1340,1500,670,1170,670,670,670,670,0,0,0,66000
36,36,1,135000,135000,1350,1500,675,1175,675,675,675,675,0,0,0,65000
37,37,1,136000,136000,1360,1500,680,1180,680,680,680,680,0,0,0,64000
38,38,1,137000,137000,1370,1500,685,1185,685,685,685,685,0,0,0,63000
39,39,1,138000,138000,1380,1500,690,1190,690,690,690,690,0,0,0,62000
40,40,1,139000,139000,1390,1500,695,1195,695,695,695,695,0,0,0,61000
41,1,2,100000,100000,1000,1500,500,1000,500,500,500,500,0,0,0,100000
42,2,2,101000,101000,1010,1500,505,1005,505,505,505,505,0,0,0,99000
43,3,2,102000,102000,1020,1500,510,1010,510,510,510,510,0,0,0,98000
44,4,2,103000,103000,1030,1500,515,1015,515,515,515,515,0,0,0,97000
45,5,2,104000,104000,1040,1500,520,1020,520,520,520,520,0,0,0,96000
46,6,2,105000,105000,1050,1500,525,1025,525,525,525,525,0,0,0,95000
47,7,2,106000,106000,1060,1500,530,1030,530,530,530,530,0,0,0,94000
48,8,2,107000,107000,1070,1500,535,1035,535,535,535,535,0,0,0,93000
49,9,2,108000,108000,1080,1500,540,1040,540,540,540,540,0,0,0,92000
50,10,2,109000,109000,1090,1500,545,1045,545,545,545,545,0,0,0,91000
51,11,2,110000,110000,1100,1500,550,1050,550,550,550,550,0,0,0,90000
52,12,2,111000,111000,1110,1500,555,1055,555,555,555,555,0,0,0,89000
53,13,2,112000,112000,1120,1500,560,1060,560,560,560,560,0,0,0,88000
54,14,2,113000,113000,1130,1500,565,1065,565,565,565,565,0,0,0,87000
55,15,2,114000,114000,1140,1500,570,1070,570,570,570,570,0,0,0,86000
56,16,2,115000,115000,1150,1500,575,1075,575,575,575,575,0,0,0,85000
57,17,2,116000,116000,1160,1500,580,1080,580,580,580,580,0,0,0,84000
58,18,2,117000,117000,1170,1500,585,1085,585,585,585,585,0,0,0,83000
59,19,2,118000,118000,1180,1500,590,1090,590,590,590,590,0,0,0,82000
60,20,2,119000,119000,1190,1500,595,1095,595,595,595,595,0,0,0,81000
61,21,2,120000,120000,1200,1500,600,1100,600,600,600,600,0,0,0,80000
62,22,2,121000,121000,1210,1500,605,1105,605,605,605,605,0,0,0,79000
63,23,2,122000,122000,1220,1500,610,1110,610,610,610,610,0,0,0,78000
64,24,2,123000,123000,1230,1500,615,1115,615,615,615,615,0,0,0,77000
65,25,2,124000,124000,1240,1500,620,1120,620,620,620,620,0,0,0,76000
66,26,2,125000,125000,1250,1500,625,1125,625,625,625,625,0,0,0,75000
67,27,2,126000,126000,1260,1500,630,1130,630,630,630,630,0,0,0,74000
68,28,2,127000,127000,1270,1500,635,1135,635,635,635,635,0,0,0,73000
69,29,2,128000,128000,1280,1500,640,1140,640,640,640,640,0,0,0,72000
70,30,2,129000,129000,1290,1500,645,1145,645,645,645,645,0,0,0,71000
71,31,2,130000,130000,1300,1500,650,1150,650,650,650,650,0,0,0,70000
72,32,2,131000,131000,1310,1500,655,1155,655,655,655,655,0,0,0,69000
73,33,2,132000,132000,1320,1500,660,1160,660,660,660,660,0,0,0,68000
74,34,2,133000,133000,1330,1500,665,1165,665,665,665,665,0,0,0,67000
75,35,2,134000,134000,1340,1500,670,1170,670,670,670,670,0,0,0,66000
76,36,2,135000,135000,1350,1500,675,1175,675,675,675,675,0,0,0,65000
77,37,2,136000,136000,1360,1500,680,1180,680,680,680,680,0,0,0,64000
78,38,2,137000,137000,1370,1500,685,1185,685,685,685,685,0,0,0,63000
79,39,2,138000,138000,1380,1500,690,1190,690,690,690,690,0,0,0,62000
80,40,2,139000,139000,1390,1500,695,1195,695,695,695,695,0,0,0,61000
81,1,3,100000,100000,1000,1500,500,1000,500,500,500,500,0,0,0,100000
82,2,3,101000,101000,1010,1500,505,1005,505,505,505,505,0,0,0,99000
83,3,3,102000,102000,1020,1500,510,1010,510,510,510,510,0,0,0,98000
84,4,3,103000,103000,1030,1500,515,1015,515,515,515,515,0,0,0,97000
85,5,3,104000,104000,1040,1500,520,1020,520,520,520,520,0,0,0,96000
86,6,3,105000,105000,1050,1500,525,1025,525,525,525,525,0,0,0,95000
87,7,3,106000,106000,1060,1500,530,1030,530,530,530,530,0,0,0,94000
88,8,3,107000,107000,1070,1500,535,1035,535,535,535,535,0,0,0,93000
89,9,3,108000,108000,1080,1500,540,1040,540,540,540,540,0,0,0,92000
90,10,3,109000,109000,1090,1500,545,1045,545,545,545,545,0,0,0,91000
91,11,3,110000,110000,1100,1500,550,1050,550,550,550,550,0,0,0,90000
92,12,3,111000,111000,1110,1500,555,1055,555,555,555,555,0,0,0,89000
93,13,3,112000,112000,1120,1500,560,1060,560,560,560,560,0,0,0,88000
94,14,3,113000,113000,1130,1500,565,1065,565,565,565,565,0,0,0,87000
95,15,3,114000,114000,1140,1500,570,1070,570,570,570,570,0,0,0,86000
96,16,3,115000,115000,1150,1500,575,1075,575,575,575,575,0,0,0,85000
97,17,3,116000,116000,1160,1500,580,1080,580,580,580,580,0,0,0,84000
98,18,3,117000,117000,1170,1500,585,1085,585,585,585,585,0,0,0,83000
99,19,3,118000,118000,1180,1500,590,1090,590,590,590,590,0,0,0,82000
100,20,3,119000,119000,1190,1500,595,1095,595,595,595,595,0,0,0,81000
101,21,3,120000,120000,1200,1500,600,1100,600,600,600,600,0,0,0,80000
102,22,3,121000,121000,1210,1500,605,1105,605,605,605,605,0,0,0,79000
103,23,3,122000,122000,1220,1500,610,1110,610,610,610,610,0,0,0,78000
104,24,3,123000,123000,1230,1500,615,1115,615,615,615,615,0,0,0,77000
105,25,3,124000,124000,1240,1500,620,1120,620,620,620,620,0,0,0,76000
106,26,3,125000,125000,1250,1500,625,1125,625,625,625,625,0,0,0,75000
107,27,3,126000,126000,1260,1500,630,1130,630,630,630,630,0,0,0,74000
108,28,3,127000,127000,1270,1500,635,1135,635,635,635,635,0,0,0,73000
109,29,3,128000,128000,1280,1500,640,1140,640,640,640,640,0,0,0,72000
110,30,3,129000,129000,1290,1500,645,1145,645,645,645,645,0,0,0,71000
111,31,3,130000,130000,1300,1500,650,1150,650,650,650,650,0,0,0,70000
112,32,3,131000,131000,1310,1500,655,1155,655,655,655,655,0,0,0,69000
113,33,3,132000,132000,1320,1500,660,1160,660,660,660,660,0,0,0,68000
114,34,3,133000,133000,1330,1500,665,1165,665,665,665,665,0,0,0,67000
115,35,3,134000,134000,1340,1500,670,1170,670,670,670,670,0,0,0,66000
116,36,3,135000,135000,1350,1500,675,1175,675,675,675,675,0,0,0,65000
117,37,3,136000,136000,1360,1500,680,1180,680,680,680,680,0,0,0,64000
118,38,3,137000,137000,1370,1500,685,1185,685,685,685,685,0,0,0,63000
119,39,3,138000,138000,1380,1500,690,1190,690,690,690,690,0,0,0,62000
120,40,3,139000,139000,1390,1500,695,1195,695,695,695,695,0,0,0,61000
